v1	V(n002)	I(D1)
-1.000000000000063e+000	-9.999975e-001	-2.521000e-009
-9.900000000000631e-001	-9.899975e-001	-2.520990e-009
-9.800000000000630e-001	-9.799975e-001	-2.520980e-009
-9.700000000000630e-001	-9.699975e-001	-2.520970e-009
-9.600000000000630e-001	-9.599975e-001	-2.520960e-009
-9.500000000000630e-001	-9.499975e-001	-2.520950e-009
-9.400000000000630e-001	-9.399975e-001	-2.520940e-009
-9.300000000000630e-001	-9.299975e-001	-2.520930e-009
-9.200000000000630e-001	-9.199975e-001	-2.520920e-009
-9.100000000000630e-001	-9.099975e-001	-2.520910e-009
-9.000000000000630e-001	-8.999975e-001	-2.520900e-009
-8.900000000000630e-001	-8.899975e-001	-2.520890e-009
-8.800000000000630e-001	-8.799975e-001	-2.520880e-009
-8.700000000000630e-001	-8.699975e-001	-2.520870e-009
-8.600000000000629e-001	-8.599975e-001	-2.520860e-009
-8.500000000000629e-001	-8.499975e-001	-2.520850e-009
-8.400000000000629e-001	-8.399975e-001	-2.520840e-009
-8.300000000000629e-001	-8.299975e-001	-2.520830e-009
-8.200000000000629e-001	-8.199975e-001	-2.520820e-009
-8.100000000000629e-001	-8.099975e-001	-2.520810e-009
-8.000000000000629e-001	-7.999975e-001	-2.520800e-009
-7.900000000000629e-001	-7.899975e-001	-2.520790e-009
-7.800000000000629e-001	-7.799975e-001	-2.520780e-009
-7.700000000000629e-001	-7.699975e-001	-2.520770e-009
-7.600000000000629e-001	-7.599975e-001	-2.520760e-009
-7.500000000000628e-001	-7.499975e-001	-2.520750e-009
-7.400000000000628e-001	-7.399975e-001	-2.520740e-009
-7.300000000000628e-001	-7.299975e-001	-2.520730e-009
-7.200000000000628e-001	-7.199975e-001	-2.520720e-009
-7.100000000000628e-001	-7.099975e-001	-2.520710e-009
-7.000000000000628e-001	-6.999975e-001	-2.520700e-009
-6.900000000000628e-001	-6.899975e-001	-2.520689e-009
-6.800000000000628e-001	-6.799975e-001	-2.520679e-009
-6.700000000000628e-001	-6.699975e-001	-2.520669e-009
